,Date,NumberOfSubjects,Fatal,SubjectArmed,Notes,SubjectRace,SubjectGender,SubjectAge,NatureOfStop,NumberOfShots,NumberOfOfficers,OfficerRace,OfficerGender,Department,FullNarrative,city,state
139,4/22/2016,1,F,N,Knife,W,M,29,Disturbance,>/=1,1,H,M,Austin PD,"Multiple 911 calls were received, later determined to be from the suspect, regarding a male subject threatening people with knives. Ofc responded to the first call but was unable to locate the described suspect. He later responded to a similar call at a different location where the subject was observed with knives in his hands. The subject charged at Ofc, who fired his firearm, wounding the subject. The subject was transported to the hospital where he was later pronounced deceased.",Austin,TX
140,2/8/2016,1,F,N,"Naked suspect, Unarmed, Possible Mental Health",B,M,17,Suspicious Person,>/=2,1,B,M,Austin PD,"Officers responded to a call regarding a subject that had jumped over a fence to chase someone. The complainant indicated that the chase had ended and the subject was no longer visible. Shortly thereafter, multiple calls came in regarding a suspicious person that was believed to be related to the original call and was now being described as naked. Upon locating the subject, Ofc exited his vehicle and ordered the subject, who was completely unclothed, to stop as he was walking toward him. The male subject then took off running, charging directly at Ofc while disregarding his repeated commands to stop. Ofc Freeman fired at the subject, who was later pronounced deceased at a local hospital.",Austin,TX
141,9/14/2016,1,F,Y,,W,M,34,Suspicious Person,>/=20,3,"W,W,H","M,M,M",Austin PD,"Officers responded to a call regarding a suspicious person looking into cars in an apartment complex. Officers arrived but were unable to locate the subject. Officers later responded to a second call regarding the same subject. The subject was located, but fled and a foot pursuit ensued. The subject did not comply with officer's orders to stop and show his hands and was subsequently tased. The subject fell to the ground but still failied to comply with orders to show his hands, retrieved a concealed handgun and fired multiple rounds at officers. Officers returned fire, striking the subject. While still not complying with verbal commands, less lethal rounds were used to incapacitate the subject and take control of his weapon. Officers then began life saving measures. Subject was transported to the hopsital where he was pronounced deceased.",Austin,TX
142,10/16/2016,1,F,N,"Mental Health, Toy Gun",W,F,26,Welfare Check,>/=12,2,"W,W","M,F",Austin PD,"Officers responded to a CIT call of a female having a mental health crisis. As the officers arrived, information was obtained that a weapon was possibly involved. Officers began walking toward the building where the call was originating from when the subject exited a breezeway, walking towards the officers while pointing a firearm at them. The officers gave commands to drop the handgun, to which the subject did not comply. The officers fired at the subject, striking her. The subject continue to attempt to manipulate the firearm in her possession and a single officer fired and additional volley of shots at the subject. The subject was placed into custody, transported to the hospital, where she was pronounced deceased.",Austin,TX
953,5/3/2010,1,N,Y,,L,M,20,Robbery,1,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_121982X.pdf,Dallas,TX
954,3/14/2010,1,F,N,,B,M,,Domestic disturbance; firearm,1,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_70285X.pdf,Dallas,TX
955,3/22/2010,1,F,N,Taser,L,M,19,Suspicious behavior; narcotics,15,3,H;W;W,M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_78756X.pdf,Dallas,TX
956,4/27/2010,1,N,N,NO HITS,L,M,37,Suspicious vehicle; traffic stop,1,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_115951X.pdf,Dallas,TX
957,2/5/2010,1,N,Y,,W,M,42,Disturbance; firearm,1,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_34227X.pdf,Dallas,TX
958,6/15/2010,1,N,Y,NO HITS,B,M,25,Assault; weapons posession; firearms,1,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_167104X.pdf,Dallas,TX
959,6/28/2010,1,F,N,x,W,M,27,Burglary,3,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_181380X.pdf,Dallas,TX
960,2/7/2010,1,N,N,NO HITS,L,M,20,Crowd-control; shooting,6,2,H;H,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_36033X.pdf,Dallas,TX
961,11/7/2010,1,F,N,,L,M,32,Weapons posession; firearms,23,5,W;W;W;W;W,M;M;M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_308344X.pdf,Dallas,TX
962,7/16/2010,1,N,Y,,,,46,Aggravated robbery,1,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_199351X.pdf,Dallas,TX
963,3/8/2010,1,N,Y,NO HITS,W,M,60,Active shooter,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_64249X.pdf,Dallas,TX
964,3/10/2010,1,F,Y,,B,M,21,Active shooter,17,2,W;H,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_66386X.pdf,Dallas,TX
965,10/29/2010,1,F,N,,B,M,25,Drug sweep; suspicious behavior,7,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_300693X.pdf,Dallas,TX
966,11/16/2010,1,N,N,Pellet Gun,B,M,35,Bank robbery,5,2,W;W,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_316668X.pdf,Dallas,TX
967,11/28/2010,1,N,Y,NO HITS,B,M,31,Active shooter,1,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_327705X.pdf,Dallas,TX
968,12/17/2010,1,N,Y,NO HITS,W,F,25,Aggravated kidnapping,23,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_344699X.pdf,Dallas,TX
969,12/22/2010,1,N,N,NO HITS,L,M,26,Capital murder,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2010/OIS_2010_349419X.pdf,Dallas,TX
970,10/1/2011,1,N,Y,NO HITS,B,M,21,Shots fired,8,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_259768Y.pdf,Dallas,TX
971,3/24/2011,1,N,Y,,L,M,22,Felony fugitive,5,2,W;W,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_73571Y.pdf,Dallas,TX
972,12/5/2011,1,F,Y,,W,M,32,Narcotics,3,2,H;W,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_318272Y.pdf,Dallas,TX
973,6/24/2011,1,N,N,NO HITS,B,M,,Major disturbance,4,2,W;W,F;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_165748Y.pdf,Dallas,TX
974,7/22/2011,1,N,N,NO HITS,B,M,21,Burglary,5,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_192694Y.pdf,Dallas,TX
975,5/8/2011,1,N,N,,B,M,28,Disturbance; threatened shooting,3,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_117903Y.pdf,Dallas,TX
976,11/9/2011,1,N,Y,,B,M,35,Traffic stop,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_296242Y.pdf,Dallas,TX
977,12/10/2011,1,N,N,Knife,B,M,34,Cutting,2,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_322771Y.pdf,Dallas,TX
978,11/16/2011,1,N,N,NO HITS,L,M,24,Kidnapping; injury to child,1,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_302639Y.pdf,Dallas,TX
979,11/30/2011,1,N,Y,NO HITS,L,M,30,Suspicious behavior,5,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_313491Y.pdf,Dallas,TX
980,12/27/2011,1,F,Y,,B,M,29,Suspicious person,3,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_336939Y.pdf,Dallas,TX
981,12/28/2011,1,N,N,NO HITS,B,M,30,Aggravated robbery,1,1,W,F,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2011/OIS_2011_337026Y.pdf,Dallas,TX
982,2/2/2012,1,N,N,,B,M,53,Aggravated assault; robbery,1,1,A,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_27878Z.pdf,Dallas,TX
983,2/2/2012,1,N,Y,,B,M,30,Robbery,2,2,W;W,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_27843Z.pdf,Dallas,TX
984,6/2/2012,1,F,Y,,B,M,21,Traffic stop,1,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_135680Z.pdf,Dallas,TX
985,2/13/2012,1,F,Y,,B,M,26,aggravated robbery,22,3,W;W;A,M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_36192Z.pdf,Dallas,TX
986,2/24/2012,1,F,Y,,W,M,53,Weapons posession; suicide,2,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_45802Z.pdf,Dallas,TX
987,8/3/2012,1,N,Y,,L,M,28,Disturbance,10,2,W;W,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_191609Z.pdf,Dallas,TX
988,3/15/2012,1,N,N,,,,,Animal disturbance,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_62683Z.pdf,Dallas,TX
989,5/22/2012,1,F,Y,,B,M,34,Narcotics; undercover operation,5,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_125333Z.pdf,Dallas,TX
990,5/26/2012,1,N,N,NO HITS,B,M,,Shots fired,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_128833Z.pdf,Dallas,TX
991,5/27/2012,1,F,Y,,W,M,31,Suicide,11,2,W;W,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_130254Z.pdf,Dallas,TX
992,5/29/2012,1,N,N,NO HITS,W,M,23,Felony warrant,1,2,W;B,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_132098Z.pdf,Dallas,TX
993,5/29/2012,1,N,N,,B,F,33,Stolen car,10,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_132104Z.pdf,Dallas,TX
994,8/6/2012,1,N,N,NO HITS,B,M,37,burglary,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_194377Z.pdf,Dallas,TX
995,12/6/2012,1,F,Y,,B,M,37,Weapons posession; firearms,11,2,W;H,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_302115Z.pdf,Dallas,TX
996,6/24/2012,1,F,Y,,B,M,19,Drugs,1,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_155523Z.pdf,Dallas,TX
997,7/15/2012,1,N,Y,NO HITS,L,M,28,Crowd-control; shooting,6,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_174404Z.pdf,Dallas,TX
998,7/24/2012,1,F,N,,B,M,31,Kidnapping,2,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_183313Z.pdf,Dallas,TX
999,10/27/2012,1,N,N,NO HITS,B,M,41,Disturbance; crowd-control; gunshots,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_267651Z.pdf,Dallas,TX
1000,10/28/2012,1,N,Y,,W,M,24,Aggravated robbery,1,1,A,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_268942Z.pdf,Dallas,TX
1001,11/25/2012,1,N,N,NO HITS,B,M,19,Street racing,1,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_291975Z.pdf,Dallas,TX
1002,12/14/2012,1,F,Y,,B,M,30,Drugs; expired driver's license plate,4,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2012/OIS_2012_308643Z.pdf,Dallas,TX
1003,11/1/2013,1,F,N,Taser,L,M,22,Major disturbance,1,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_280218A.pdf,Dallas,TX
1004,10/2/2013,1,N,Y,NO HITS,B,M,41,Prostitution; police shooting,11,2,H;H,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_253345A.pdf,Dallas,TX
1005,2/23/2013,1,N,Y,,L,M,47,Drunkeness; weapons posession,9,2,H;W,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_44523A.pdf,Dallas,TX
1006,1/3/2013,1,N,N,NO HITS,L,M,40,Robbery,13,2,B;B,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_2315A.pdf,Dallas,TX
1007,3/14/2013,1,F,Y,,B,M,21,Shooting,5,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_60045A.pdf,Dallas,TX
1008,3/15/2013,1,N,N,BB Gun; NO HITS,B,M,21,Drugs,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_60944A.pdf,Dallas,TX
1009,4/15/2013,1,N,Y,NO HITS,B,M,26,Murder,3,2,H;W,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_92218A.pdf,Dallas,TX
1010,5/31/2013,1,N,Y,NO HITS,L,M,17,Robbery; suspicious behavior,4,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_136044A.pdf,Dallas,TX
1011,4/6/2013,1,N,N,NO HITS,L,M,23,Altercation,2,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_84022A.pdf,Dallas,TX
1012,9/6/2013,1,N,Y,,L,M,42,Aggraveted assault,17,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_229702A.pdf,Dallas,TX
1013,6/19/2013,1,N,Y,NO HITS,B,M,18,Aggravated robbery,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_154621A.pdf,Dallas,TX
1014,6/26/2013,1,N,N,Knife,B,M,47,Theft,3,2,W;H,M;F,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_161783A.pdf,Dallas,TX
1015,1/7/2013,1,N,Y,NO HITS,B,M,33,Drugs,22,5,W;W;H;W;W,M;M;M;M;/M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_5567A.pdf,Dallas,TX
1016,7/17/2013,1,F,N,,L,M,19,Burglary,1,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_182199A.pdf,Dallas,TX
1017,7/31/2013,1,N,Y,NO HITS,L,M,20,Shooting,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_194631A.pdf,Dallas,TX
1018,2/8/2013,1,F,Y,,W,M,39,Murder,52,5,W;W;W;W;W,M;M;M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_32587A.pdf,Dallas,TX
1019,12/9/2013,1,N,N,,B,M,19,Stolen car,1,1,W,F,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_311475A.pdf,Dallas,TX
1020,9/14/2013,1,N,Y,,B,M,31,Robbery,3,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_236584A.pdf,Dallas,TX
1021,9/26/2013,1,F,Y,,W,M,57,Shooting,27,3,H;W;B,M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_248051A.pdf,Dallas,TX
1022,3/10/2013,1,F,N,,B,M,35,Major disturbance; emergency,9,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_56628A.pdf,Dallas,TX
1023,10/14/2013,1,N,N,Knife,W,M,53,Major disturbance; mental illness,4,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_263673A.pdf,Dallas,TX
1024,10/11/2013,1,N,N,NO HITS,L,M,27,Burglary; traffic stop,2,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2013/OIS_2013_260599A.pdf,Dallas,TX
1025,10/1/2014,1,N,N,NO HITS,W,M,48,Robbery,1,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_236112-2014.pdf,Dallas,TX
1026,1/2/2014,1,F,Y,,W,M,47,Weapons posession,29,4,H;W;W;W,M;M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_912B.pdf,Dallas,TX
1027,2/15/2014,1,N,Y,,B,M,19,Major disturbance,20,2,W;H,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_37894B.pdf,Dallas,TX
1028,2/19/2014,1,N,Y,,L,M,39,Drugs,2,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_40931B.pdf,Dallas,TX
1029,4/4/2014,1,F,N,Knife,W,M,26,Trespassing,7,1,W,F,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_79223B.pdf,Dallas,TX
1030,4/21/2014,1,F,Y,,W,M,30,Complaint; drugs,6,3,A;W;H,M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_94757B.pdf,Dallas,TX
1031,5/24/2014,1,N,Y,NO HITS,L,M,39,Armed encounter,2,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_125236B.pdf,Dallas,TX
1032,6/14/2014,1,F,N,,B,F,38,Major disturbance; mental illness,5,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_143473-2014.pdf,Dallas,TX
1033,6/14/2014,1,N,N,NO HITS,B,M,36,Traffic stop,3,2,W;W,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_143229-2014.pdf,Dallas,TX
1034,6/26/2014,1,F,Y,,B,M,33,Weapons posession,5,3,H;W;B,M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_154184-2014.pdf,Dallas,TX
1035,9/7/2014,1,F,N,,W,M,34,Fugitive; Immigration and customs enforcement,7,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_216145-2014.pdf,Dallas,TX
1036,8/20/2014,1,N,Y,,W,M,52,Stolen car,14,2,W;W,M;F,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_200830-2014.pdf,Dallas,TX
1037,8/21/2014,1,N,Y,,B,M,20,Shooting,3,1,L,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_201507-2014.pdf,Dallas,TX
1038,8/25/2014,1,F,Y,,B,M,29,Domestic disturbance,6,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_204701-2014.pdf,Dallas,TX
1039,8/27/2014,1,F,Y,,L,M,18,Suspicious behavior,5,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_206124-2014.pdf,Dallas,TX
1040,7/10/2014,1,N,Y,NO HITS,L,M,33,Traffic stop,5,2,W;H,M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_166059-2014.pdf,Dallas,TX
1041,8/10/2014,1,F,N,,W,M,26,Sexual harassment,5,1,H,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_192024-2014.pdf,Dallas,TX
1042,10/22/2014,1,N,N,NO HITS,B,M,22,Suspicious person,3,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_254101-2014.pdf,Dallas,TX
1043,8/11/2014,1,F,N,Knife,L,M,18,Cutting,1*,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_192550-2014.pdf,Dallas,TX
1044,12/16/2014,1,N,N,Knife,W,M,32,Theft; shoplifting,2,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2014/OIS_2014_298185-2014.pdf,Dallas,TX
1045,6/13/2015,1,F,Y,,W,M,35,shooting; police shooting,>13,16,W;W;W;W;W;W;H;H;W;W;W;A;H;W;B;H,M;M;M;M;M;M;F;F;M;M;M; M;M;M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2015/OIS_2015_134472-2015.pdf,Dallas,TX
1046,6/14/2015,1,N,Y,NO HITS,L,M,47,shooting,2,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2015/OIS_2015_135229-2015.pdf,Dallas,TX
1047,6/26/2015,1,N,Y,NO HITS,L,M,22,Robbery; police shooting,3,1,B,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2015/OIS_2015_146068-2015.pdf,Dallas,TX
1048,7/7/2015,1,F,Y,,W,M,,Sex crime,>4,4,W;W;W;NA,M;M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2015/OIS_2015_155466-2015.pdf,Dallas,TX
1049,8/27/2015,1,F,N,Pellet Gun,B,M,,Robbery,2,9,W;W;B;B;W;H;B;W;H,M;M;M;M;F;M;M;M;M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2015/OIS_2015_199250-2015.pdf,Dallas,TX
1050,2/9/2015,1,F,N,,B,M,45,shooting,13,1,W,M,Dallas Police Department,http://dallaspolice.net/reports/OIS/narrative/2015/OIS_2015_031347-2015.pdf,Dallas,TX
